timestamp,uv,accelX,accelY,accelZ,r,g,b,c,colorTemp,lux,target
1712471418,306,-1151,674,8265,65535,65535,65535,65535,0,34196,,
1712471420,278,-1818,1663,7895,65535,65535,65535,65535,0,34196,,
1712471422,281,-1599,2154,7901,65535,65535,65535,65535,0,34196,,
1712471424,289,388,827,8341,65535,65535,65535,65535,0,34196,,
1712471426,304,-2909,-57,7341,65535,65535,65535,65535,0,34196,,
1712471428,283,-3535,2138,7195,65535,65535,65535,65535,0,34196,,
1712471430,326,-1054,3724,7040,65535,65535,65535,65535,0,34196,,
1712471432,276,-1422,650,8160,65535,65535,65535,65535,0,34196,,
1712471434,277,-329,774,9256,65535,65535,65535,65535,0,34196,,
1712471436,207,-3471,-406,6966,65535,65535,65535,65535,0,34196,,
1712471438,224,2388,59,8202,65535,65535,65535,65535,0,34196,,
1712471440,192,1250,-773,8416,49665,58554,62120,65535,0,30829,,
1712471442,190,803,-1657,8063,65535,65535,65535,65535,0,34196,,
1712471444,218,901,-669,9792,65535,65535,65535,65535,0,34196,,
1712471447,220,3304,-239,7182,65535,65535,65535,65535,0,34196,,
1712471449,237,2692,1227,6809,65535,65535,65535,65535,0,34196,,
1712471451,234,2309,-595,9563,65535,65535,65535,65535,0,34196,,
1712471453,226,1761,-1184,9389,65535,65535,65535,65535,0,34196,,
1712471455,234,2779,1170,9013,65535,65535,65535,65535,0,34196,,
1712471457,237,1940,-1827,6935,65535,65535,65535,65535,0,34196,,
1712471459,225,1435,1150,6530,65535,65535,65535,65535,0,34196,,
1712471461,222,913,1481,8107,65535,65535,65535,65535,0,34196,,
1712471463,222,1464,-1585,9595,65535,65535,65535,65535,0,34196,,
1712471465,209,1462,1988,7553,65535,65535,65535,65535,0,34196,,
1712471467,186,1854,1782,7244,65535,65535,65535,65535,0,34196,,
1712471469,145,1058,1320,6832,65535,65535,65535,65535,0,34196,,
1712471471,178,3387,607,7843,65535,65535,65535,65535,0,34196,,
1712471473,259,2520,857,8016,65535,65535,65535,65535,0,34196,,
1712471475,261,936,3975,8313,65535,65535,65535,65535,0,34196,,
1712471477,142,897,2103,6294,65535,65535,65535,65535,0,34196,,
1712471479,138,1056,2553,6124,65535,65535,65535,65535,0,34196,,
1712471481,177,1293,1132,7990,65535,65535,65535,65535,0,34196,,
1712471483,211,719,-911,9351,65535,65535,65535,65535,0,34196,,
1712471485,206,653,-2998,9065,65535,65535,65535,65535,0,34196,,
1712471487,180,-1501,-1352,7471,65535,65535,65535,65535,0,34196,,
1712471489,149,784,370,10215,65535,65535,65535,65535,0,34196,,
1712471491,228,995,2034,7824,65535,65535,65535,65535,0,34196,,
1712471493,243,114,2293,7982,65535,65535,65535,65535,0,34196,,
1712471495,289,460,4993,7144,65535,65535,65535,65535,0,34196,,
1712471497,348,1672,6259,5409,65535,65535,65535,65535,0,34196,,
1712471499,253,115,1555,8064,32637,36474,42418,65535,0,15927,,
1712471501,146,-2782,-9,6444,65535,65535,65535,65535,0,34196,,
1712471505,138,149,558,6347,65535,65535,65535,65535,0,34196,,
1712471507,125,2130,3388,9959,65535,65535,65535,65535,0,34196,,
1712471509,127,-438,903,6292,65535,65535,65535,65535,0,34196,,
1712471511,126,3561,1300,10522,65535,65535,65535,65535,0,34196,,
1712471513,193,1008,227,7982,65535,65535,65535,65535,0,34196,,
1712471515,251,2519,-4007,7701,65535,65535,65535,65535,0,34196,,
1712471517,261,784,-1348,7930,65535,65535,65535,65535,0,34196,,
1712471519,258,4274,-1023,8288,65535,65535,65535,65535,0,34196,,
1712471521,236,213,-864,9362,65535,65535,65535,65535,0,34196,,
1712471523,222,1281,-3011,7401,65535,65535,65535,65535,0,34196,,
1712471525,203,1263,215,8930,65535,65535,65535,65535,0,34196,,
1712471527,197,1959,-56,7512,65535,65535,65535,65535,0,34196,,
1712471529,215,59,-147,8401,65535,65535,65535,65535,0,34196,,
1712471531,241,3468,-1922,8553,65535,65535,65535,65535,0,34196,,
1712471533,223,2171,-4807,7387,65535,65535,65535,65535,0,34196,,
1712471535,237,-257,3779,8375,65535,65535,65535,65535,0,34196,,
1712471537,221,46,2487,7935,65535,65535,65535,65535,0,34196,,
1712471539,212,-829,3683,7539,65535,65535,65535,65535,0,34196,,
1712471541,222,265,2716,7791,65535,65535,65535,65535,0,34196,,
1712471543,221,-16,3051,7957,65535,65535,65535,65535,0,34196,,
