timestamp,uv,accelX,accelY,accelZ,r,g,b,c,colorTemp,lux,target,code
1712470753,18,-47,4517,7423,7218,7801,8664,17975,6463,3628,,
1712470755,29,-318,5048,6273,65535,58428,55624,65535,0,30232,,
1712470757,30,154,4207,7221,64661,55088,53490,65535,0,26806,,
1712470759,25,224,5073,6266,61942,53782,51766,65535,0,26889,,
1712470761,28,1629,4335,5930,61345,51448,51005,65535,0,23956,,
1712470763,28,1022,4662,6163,61400,52907,51380,65535,0,25967,,
1712470765,28,1475,4992,6660,61947,53897,51774,65535,0,27063,,
1712470767,26,611,4938,6129,61482,52971,51385,65535,0,26037,,
1712470769,28,445,4976,6686,61520,53097,51382,65535,0,26226,,
1712470771,27,407,4957,6693,61547,52586,51323,65535,0,25454,,
1712470773,28,770,4895,6635,60195,50472,49860,65535,0,23627,,
1712470775,25,39,4351,6935,58415,47408,48028,65535,0,20710,,
1712470777,20,1077,3576,7247,59306,48725,49190,65535,0,21649,,
1712470779,31,-71,4398,7286,62403,54578,52012,65535,0,27816,,
1712470781,35,-213,4573,7123,62753,55092,52339,65535,0,28274,,
1712470783,26,947,3971,6951,62176,52832,51809,65535,0,25282,,
1712470785,28,2658,5200,7643,60522,49793,50165,65535,0,22226,,
1712470787,25,1324,3650,6862,61131,50681,50613,65535,0,23102,,
1712470789,27,1858,2908,7196,55324,44169,45089,65535,0,18752,,
1712470791,30,-637,4224,6234,62366,50253,50971,65535,0,21763,,
1712470793,30,-343,4648,5917,62181,52123,51401,65535,0,24460,,
1712470795,26,504,3435,7315,56068,45467,46296,65535,0,19676,,
1712470796,27,422,3962,7026,61060,51288,50777,65535,0,23963,,
1712470798,26,2044,3658,7568,59137,48255,48908,65535,0,21168,,
1712470800,30,1177,3653,8294,62875,53656,52306,65535,0,25992,,
1712470802,26,2323,3964,6836,64050,54608,52348,65535,0,27083,,
1712470804,30,647,3115,7822,61831,52845,51787,65535,0,25431,,
1712470806,28,1481,3930,7373,60953,52206,50892,65535,0,25363,,
1712470808,27,349,4191,6971,60648,50957,50327,65535,0,23904,,
1712470810,23,462,3799,7271,60909,50940,50537,65535,0,23638,,
1712470812,28,-260,3358,7372,59717,48901,49201,65535,0,21785,,
1712470814,28,281,3716,6746,62878,51442,50989,65535,0,23461,,
1712470816,24,643,2427,7999,57924,47131,47818,65535,0,20586,,
1712470818,17,3212,2059,6718,26698,22148,23404,40902,4062,9160,,
1712470820,16,1646,3240,7451,8809,8473,9604,18143,5883,3484,,
1712470822,11,893,3890,9127,8002,7911,9150,17451,6243,3191,,
1712470824,18,890,1004,8430,7617,7723,9069,17515,6527,3079,,
1712470826,20,-3932,-1603,7419,44069,36889,37515,65535,0,16459,,
1712470828,24,-4021,-1118,6425,46436,42963,42604,65535,0,21553,,
1712470830,24,-3299,-1265,7561,34933,30294,31109,55690,4203,13704,,
1712470832,15,-2504,136,8103,4778,5668,7064,14436,7888,2224,,
1712470834,13,-4588,-245,6194,5025,5721,7028,14197,7558,2254,,
1712470836,28,-2511,4520,6477,59219,48903,47921,65535,0,22887,,
1712470838,26,-1070,2864,9174,42486,33473,34669,61287,3529,13664,,
1712470840,26,-1313,3402,6571,60774,48146,49057,65535,0,20356,,
1712470842,28,-192,2737,7752,59121,46313,47310,65535,0,19278,,
1712470844,25,193,3042,7841,57508,44904,46860,65535,0,17907,,
1712470846,27,-927,2748,8231,50105,38587,40530,65535,0,14973,,
1712470848,26,-199,3995,7825,55932,44175,44930,65535,0,18680,,
1712470850,28,745,3639,8530,59931,48489,48574,65535,0,21524,,
1712470852,32,85,3569,7810,58910,47237,47566,65535,0,20617,,
1712470854,27,-207,4530,6468,57179,45795,46229,65535,0,19882,,
1712470856,27,-181,3143,7716,52024,41303,41877,65535,0,17651,,
1712470858,21,311,2794,7643,54719,43199,43487,65535,0,18590,,
1712470860,12,723,3321,7417,16565,14453,15323,28785,4593,6219,,
1712470862,23,-4473,647,6222,58787,47134,47004,65535,0,20906,,
1712470864,22,-2061,1552,7412,39515,30920,31760,55975,3399,12728,,
1712470866,21,-520,3092,7715,32399,25679,26692,47362,3613,10476,,
1712470868,25,-764,2660,8174,51337,39814,41213,65535,0,16009,,
1712470870,24,-515,3362,7481,53663,41411,42248,65535,0,17017,,
1712470872,24,-941,2564,7905,50591,38538,39835,65535,0,15246,,
1712470874,24,-827,2536,7960,48132,37029,38023,65535,0,14989,,
1712470876,25,-1100,2433,7888,48554,37518,38465,65535,0,15300,,
1712470878,19,-1010,2450,7917,48021,37150,37933,65535,0,15282,,
1712470880,21,-920,2502,7930,48204,37288,38096,65535,0,15321,,
1712470882,22,-1039,2474,7915,48514,37577,38398,65535,0,15455,,
1712470884,23,-1013,2527,7888,48919,37910,38727,65535,0,15609,,
1712470886,25,-1090,2436,7799,47834,36872,37737,65535,0,15047,,
1712470888,20,-926,2586,7771,47762,36939,37713,65535,0,15194,,
1712470890,25,-869,2483,7899,48515,37471,38415,65535,0,15275,,
1712470892,25,-841,2393,7895,48690,37643,38510,65535,0,15421,,
1712470893,24,-839,2543,7818,48775,37746,38562,65535,0,15517,,
1712470895,24,-109,3004,7889,55695,42452,43420,65535,0,17143,,
1712470897,23,-147,3125,7763,55714,42898,43703,65535,0,17634,,
1712470899,26,-181,2961,7739,54532,42031,42796,65535,0,17313,,
1712470901,26,-114,2932,7786,54640,41977,42875,65535,0,17135,,
1712470903,25,12,3062,7740,54378,41852,42680,65535,0,17165,,
1712470905,20,-91,3027,7782,54350,41584,42569,65535,0,16832,,
1712470907,26,-108,3067,7698,55396,42534,43431,65535,0,17361,,
1712470909,29,-48,2810,7836,54523,41704,42671,65535,0,16891,,
1712470911,25,565,2838,8053,54583,41712,42671,65535,0,16884,,
1712470913,25,-277,3145,7696,53574,41016,41733,65535,0,16800,,
1712470915,24,-778,3444,7493,57379,44607,45286,65535,0,18632,,
1712470917,26,-1493,3062,7452,56209,43179,44031,65535,0,17676,,
1712470919,25,-135,3157,7630,55662,42803,43573,65535,0,17596,,
1712470921,23,-76,2849,8202,53320,40862,41622,65535,0,16720,,
1712470923,22,480,2388,7779,56202,43216,43895,65535,0,17837,,
1712470925,24,382,2705,8154,51804,39569,40431,65535,0,16043,,
1712470927,20,366,2478,7394,50835,38604,39692,65535,0,15376,,
1712470929,23,1079,2305,8660,48859,37503,38455,65535,0,15185,,
1712470931,23,414,2477,8112,47039,36110,36953,63936,3173,14676,,
1712470933,22,1669,3728,6773,45360,34807,35815,61932,3217,13998,,
1712470935,25,1161,2433,8166,46767,35995,36694,63829,3176,14773,,
1712470937,21,1182,2303,8249,47159,36291,37029,64214,3172,14868,,
1712470939,18,734,2470,7734,46191,34980,36244,61981,3149,13687,,
1712470941,19,796,2305,8093,47681,36383,37506,64388,3170,14494,,
1712470943,19,740,2535,7880,46635,35819,36606,63426,3170,14602,,
1712470945,24,391,2539,7471,46758,35426,36663,62854,3151,13900,,
1712470947,24,576,2454,7790,45387,34804,35740,61849,3197,14039,,
1712470949,22,1231,2575,7845,48236,36530,37597,63926,3069,14479,,
1712470951,21,1189,2363,8464,48702,36844,37999,64936,3098,14530,,
1712470953,19,-2974,2686,7303,36346,27977,29280,51042,3414,10927,,
1712470955,22,1160,2451,7895,46249,35551,36285,62957,3169,14540,,
1712470957,22,986,2485,7961,46587,35763,36482,63212,3150,14620,,
1712470959,22,999,2689,7902,46793,36070,36732,63851,3175,14855,,
1712470961,24,876,2536,7830,47908,36911,37600,65216,3166,15185,,
1712470963,23,864,2584,7847,46834,36037,36768,63641,3164,14763,,
1712470965,22,199,2510,7526,46148,35498,36157,62918,3166,14582,,
1712470967,16,895,2277,7927,43611,33531,34404,59564,3210,13584,,
1712470969,12,422,2375,7691,40608,31099,32076,55628,3234,12425,,
1712470971,17,901,1902,8141,38700,29891,30726,53387,3270,12126,,
1712470973,18,281,2678,7631,40897,31446,32254,56238,3231,12748,,
1712470975,22,657,1813,8206,35809,27869,28648,50041,3340,11394,,
1712470977,21,791,1944,8065,36795,28394,29320,50763,3292,11410,,
1712470979,20,628,1858,7977,35224,27170,28163,48806,3326,10835,,
1712470981,18,767,1966,8194,37332,28893,29713,51594,3286,11736,,
1712470983,15,572,1916,8205,37055,28777,29538,51469,3304,11771,,
1712470985,18,858,1883,8126,35852,27703,28587,49634,3304,11162,,
1712470987,21,862,1928,8083,35821,27725,28542,49654,3302,11240,,
1712470989,18,-596,3320,7708,54970,43624,43993,65535,0,18809,,
1712470991,20,-428,3350,7619,57397,44599,45156,65535,0,18709,,
1712470993,18,-339,3362,7565,56562,43492,44167,65535,0,17956,,
1712470995,21,-865,1330,8163,18396,14956,15877,29705,4089,6013,,
1712470997,21,-696,1546,8128,29284,23130,23972,42795,3580,9455,,
1712470999,21,-700,1541,8142,29054,22969,23800,42525,3587,9401,,
1712471001,16,-581,1618,8092,28489,22497,23349,41804,3598,9169,,
1712471003,19,-574,1590,8238,28389,22487,23289,41738,3605,9230,,
1712471005,22,-710,1727,8041,29112,22998,23832,42582,3582,9404,,
1712471007,18,-976,1325,8314,28940,22935,23704,42536,3594,9455,,
1712471009,15,-314,1424,8231,23618,18889,19640,35971,3761,7771,,
1712471011,17,1017,1273,8177,11717,9627,10657,21356,4569,3590,,
1712471013,17,-890,3346,8256,14531,12107,12566,23315,4064,5194,,
1712471015,19,-822,-2311,10103,20061,17178,18189,33739,4427,7287,,
1712471017,26,-3156,-1884,4561,38658,34779,34422,61759,4166,17149,,
